Item,Year,hg/ha_yield,AvgTemp,Rainfall
0,2007,49103,17.49,3.6
0,2007,49103,17.49,39.8
0,2007,49103,17.49,2.8
0,2007,49103,17.49,0.2
0,2007,49103,17.49,16.2
0,2007,49103,17.49,1.2
0,2007,49103,17.49,0.6
0,2007,49103,17.49,0.4
0,2007,49103,17.49,25.8
0,2007,49103,17.49,22.6
0,2007,49103,17.49,4.2
0,2007,49103,17.49,6.6
0,2007,49103,17.49,4.0
0,2007,49103,17.49,5.4
0,2007,49103,17.49,1.4
0,2007,49103,17.49,3.4
0,2007,49103,17.49,6.4
0,2007,49103,17.49,11.0
0,2007,49103,17.49,17.4
0,2007,49103,17.49,14.4
0,2007,49103,20.31,3.6
0,2007,49103,20.31,39.8
0,2007,49103,20.31,2.8
0,2007,49103,20.31,0.2
0,2007,49103,20.31,16.2
0,2007,49103,20.31,1.2
0,2007,49103,20.31,0.6
0,2007,49103,20.31,0.4
0,2007,49103,20.31,25.8
0,2007,49103,20.31,22.6
0,2007,49103,20.31,4.2
0,2007,49103,20.31,6.6
0,2007,49103,20.31,4.0
0,2007,49103,20.31,5.4
0,2007,49103,20.31,1.4
0,2007,49103,20.31,3.4
0,2007,49103,20.31,6.4
0,2007,49103,20.31,11.0
0,2007,49103,20.31,17.4
0,2007,49103,20.31,14.4
0,2007,49103,12.83,3.6
0,2007,49103,12.83,39.8
0,2007,49103,12.83,2.8
0,2007,49103,12.83,0.2
0,2007,49103,12.83,16.2
0,2007,49103,12.83,1.2
0,2007,49103,12.83,0.6
0,2007,49103,12.83,0.4
0,2007,49103,12.83,25.8
0,2007,49103,12.83,22.6
0,2007,49103,12.83,4.2
0,2007,49103,12.83,6.6
0,2007,49103,12.83,4.0
0,2007,49103,12.83,5.4
0,2007,49103,12.83,1.4
0,2007,49103,12.83,3.4
0,2007,49103,12.83,6.4
0,2007,49103,12.83,11.0
0,2007,49103,12.83,17.4
0,2007,49103,12.83,14.4
0,2007,49103,14.99,3.6
0,2007,49103,14.99,39.8
0,2007,49103,14.99,2.8
0,2007,49103,14.99,0.2
0,2007,49103,14.99,16.2
0,2007,49103,14.99,1.2
0,2007,49103,14.99,0.6
0,2007,49103,14.99,0.4
0,2007,49103,14.99,25.8
0,2007,49103,14.99,22.6
0,2007,49103,14.99,4.2
0,2007,49103,14.99,6.6
0,2007,49103,14.99,4.0
0,2007,49103,14.99,5.4
0,2007,49103,14.99,1.4
0,2007,49103,14.99,3.4
0,2007,49103,14.99,6.4
0,2007,49103,14.99,11.0
0,2007,49103,14.99,17.4
0,2007,49103,14.99,14.4
0,2007,49103,18.84,3.6
0,2007,49103,18.84,39.8
0,2007,49103,18.84,2.8
0,2007,49103,18.84,0.2
0,2007,49103,18.84,16.2
0,2007,49103,18.84,1.2
